,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
16,Astoria,40.76850859335492,-73.91565374304234,Leli's Bakery and Pastry Shop,40.76513213736737,-73.91769587859852,Bakery
17,Astoria,40.76850859335492,-73.91565374304234,Brooklyn Bagel & Coffee Co.,40.76473187132709,-73.91694395951342,Bagel Shop
18,Astoria,40.76850859335492,-73.91565374304234,GiGi Salon Styling Studio - Aveda Concept Salon,40.765707,-73.918851,Health & Beauty Service
19,Astoria,40.76850859335492,-73.91565374304234,Chip,40.76558816210546,-73.91914421375938,Dessert Shop
20,Astoria,40.76850859335492,-73.91565374304234,Seva Indian Cuisine,40.76552091157529,-73.91915721566768,Indian Restaurant
21,Astoria,40.76850859335492,-73.91565374304234,Neptune Diner,40.77078768729911,-73.91688990608493,Diner
22,Astoria,40.76850859335492,-73.91565374304234,Create & Go,40.76502149198756,-73.91717205518748,Salad Place
23,Astoria,40.76850859335492,-73.91565374304234,Ovelia Psistaria Bar,40.76577909596547,-73.91889019570948,Greek Restaurant
24,Astoria,40.76850859335492,-73.91565374304234,Pochana Thai Kitchen,40.76586683618986,-73.91925648391081,Thai Restaurant
25,Astoria,40.76850859335492,-73.91565374304234,Republic,40.770229238356876,-73.91469114390198,Italian Restaurant
26,Astoria,40.76850859335492,-73.91565374304234,Sweet Afton,40.76535,-73.918983,Bar
27,Astoria,40.76850859335492,-73.91565374304234,Bonjour Crêpes & Wine,40.765552941874006,-73.91871245031112,Creperie
28,Astoria,40.76850859335492,-73.91565374304234,El Rey Del Taco Truck,40.76614245155593,-73.91954910974971,Food Truck
29,Astoria,40.76850859335492,-73.91565374304234,Basil Brick Oven Pizza,40.77086476023009,-73.92008026388999,Pizza Place
30,Astoria,40.76850859335492,-73.91565374304234,Teapsy,40.76588729361489,-73.91916624148635,Bubble Tea Shop
31,Astoria,40.76850859335492,-73.91565374304234,United Brothers Fruit Markets,40.76617826348878,-73.91993202386998,Grocery Store
32,Astoria,40.76850859335492,-73.91565374304234,International Meat Market,40.764840408369444,-73.91699962138938,Food
33,Astoria,40.76850859335492,-73.91565374304234,The Astorian,40.76731385263897,-73.92120974323126,Pub
34,Astoria,40.76850859335492,-73.91565374304234,Cold Stone Creamery,40.765696,-73.913778,Ice Cream Shop
35,Astoria,40.76850859335492,-73.91565374304234,Jujube Tree,40.76530893055949,-73.91816151712001,Vegetarian / Vegan Restaurant
36,Astoria,40.76850859335492,-73.91565374304234,Mediterranean Foods,40.76557879518834,-73.91912280094809,Food & Drink Shop
37,Astoria,40.76850859335492,-73.91565374304234,New York Bakery Café,40.766443220617624,-73.92034069362454,Bakery
38,Astoria,40.76850859335492,-73.91565374304234,Crave Astoria,40.76526592389782,-73.91717258584941,Greek Restaurant
39,Astoria,40.76850859335492,-73.91565374304234,The Grand,40.76464937398527,-73.91645981481022,Mediterranean Restaurant
40,Astoria,40.76850859335492,-73.91565374304234,Don Coquí Astoria,40.76807682105487,-73.92046958611157,Latin American Restaurant
41,Astoria,40.76850859335492,-73.91565374304234,Antika Restaurant & Pizzeria,40.764903413035924,-73.91715814610242,Italian Restaurant
42,Astoria,40.76850859335492,-73.91565374304234,Bohemian Hall & Beer Garden,40.77298079076918,-73.91598000312119,Beer Garden
43,Astoria,40.76850859335492,-73.91565374304234,The Sparrow Tavern,40.772935367519025,-73.91645686322842,Bar
44,Astoria,40.76850859335492,-73.91565374304234,Mazag Hookah Lounge,40.766157342426844,-73.91321179288299,Hookah Bar
45,Astoria,40.76850859335492,-73.91565374304234,"Farid Kebab, Steinway",40.767548,-73.911972,Mediterranean Restaurant
46,Astoria,40.76850859335492,-73.91565374304234,Judy & Punch,40.76558788660594,-73.91878697297321,Bar
47,Astoria,40.76850859335492,-73.91565374304234,The Shady Lady,40.76544120609521,-73.91815954100994,Bar
48,Astoria,40.76850859335492,-73.91565374304234,Gyro World,40.764894884709804,-73.91744608778997,Greek Restaurant
49,Astoria,40.76850859335492,-73.91565374304234,Kal,40.76575,-73.91871,Korean Restaurant
50,Astoria,40.76850859335492,-73.91565374304234,Sugar Freak,40.764443337202955,-73.91605469466285,Cajun / Creole Restaurant
51,Astoria,40.76850859335492,-73.91565374304234,Butcher Bar,40.76443654357215,-73.91627777034051,BBQ Joint
52,Astoria,40.76850859335492,-73.91565374304234,Egyptian Coffee Shop,40.7676602494743,-73.91176937941454,Hookah Bar
53,Astoria,40.76850859335492,-73.91565374304234,Rotana,40.76662090039591,-73.91250705632494,Hookah Bar
54,Astoria,40.76850859335492,-73.91565374304234,Koroni Souvlaki & Grill,40.76847401888144,-73.9211870791133,Souvlaki Shop
55,Astoria,40.76850859335492,-73.91565374304234,Albatross Bar,40.77004914155301,-73.9122439855205,Bar
56,Astoria,40.76850859335492,-73.91565374304234,Jasmin Lounge,40.7667197570676,-73.91277342040742,Hookah Bar
57,Astoria,40.76850859335492,-73.91565374304234,Dave and Tony's Salumeria,40.76585132304675,-73.91830855110186,Deli / Bodega
58,Astoria,40.76850859335492,-73.91565374304234,That's A Wrap,40.764192704714084,-73.91556227941737,Sandwich Place
59,Astoria,40.76850859335492,-73.91565374304234,Gyro Uno,40.76538015914801,-73.91367349782698,Greek Restaurant
60,Astoria,40.76850859335492,-73.91565374304234,The Wolfhound,40.764017216784595,-73.91534133412702,Cocktail Bar
61,Astoria,40.76850859335492,-73.91565374304234,Healthy Me,40.764499081836114,-73.91675300130188,Juice Bar
62,Astoria,40.76850859335492,-73.91565374304234,CKO Kickboxing,40.76866662347918,-73.91072041964338,Gym / Fitness Center
63,Astoria,40.76850859335492,-73.91565374304234,J'aime Nails,40.76712194514219,-73.92105354095143,Salon / Barbershop
64,Astoria,40.76850859335492,-73.91565374304234,Kurry Qulture,40.76497824295583,-73.9171510586292,Indian Restaurant
65,Astoria,40.76850859335492,-73.91565374304234,Kiki's Nail & Spa,40.765424391283126,-73.91838281217116,Spa
66,Astoria,40.76850859335492,-73.91565374304234,Layali Beirut,40.766516467529115,-73.91295366864492,Hookah Bar
67,Astoria,40.76850859335492,-73.91565374304234,Mombar,40.76741332013149,-73.91218107519089,Middle Eastern Restaurant
68,Astoria,40.76850859335492,-73.91565374304234,Mama Frozen Yogurt,40.76528427692999,-73.9180927962143,Frozen Yogurt Shop
69,Astoria,40.76850859335492,-73.91565374304234,King of Falafel and Shawarma,40.766055,-73.919668,Middle Eastern Restaurant
70,Astoria,40.76850859335492,-73.91565374304234,Redken Salon,40.76491925450276,-73.91657723389481,Salon / Barbershop
71,Astoria,40.76850859335492,-73.91565374304234,Café Via Espresso,40.7686759,-73.9108511,Café
72,Astoria,40.76850859335492,-73.91565374304234,Muho Liquors,40.76514823711042,-73.91393938593193,Liquor Store
73,Astoria,40.76850859335492,-73.91565374304234,Greenbay Market,40.766698337653,-73.92100850953132,Grocery Store
74,Astoria,40.76850859335492,-73.91565374304234,Dominie's,40.765688947965565,-73.91870246805206,Bar
75,Astoria,40.76850859335492,-73.91565374304234,Blend Astoria,40.76440209510661,-73.91575898494503,Latin American Restaurant
76,Astoria,40.76850859335492,-73.91565374304234,Vision Essential,40.764904,-73.91751708,Optical Shop
77,Astoria,40.76850859335492,-73.91565374304234,Halal Sandwich Shop,40.766471415209516,-73.91288020325058,Middle Eastern Restaurant
78,Astoria,40.76850859335492,-73.91565374304234,Via Trenta,40.76474329895629,-73.91664146607067,Italian Restaurant
79,Astoria,40.76850859335492,-73.91565374304234,Queens Comfort,40.76464777461987,-73.91677540472237,Comfort Food Restaurant
80,Astoria,40.76850859335492,-73.91565374304234,Burger Club,40.76648708944814,-73.9205783587744,Burger Joint
81,Astoria,40.76850859335492,-73.91565374304234,Astoria Pizza,40.76648971271311,-73.92042287572502,Pizza Place
82,Astoria,40.76850859335492,-73.91565374304234,Kabab Café,40.76776070750681,-73.91189147481663,Middle Eastern Restaurant
83,Astoria,40.76850859335492,-73.91565374304234,Higher Grounds Astoria,40.77062934379985,-73.92050027847289,Coffee Shop
84,Astoria,40.76850859335492,-73.91565374304234,Yaya's Bakery,40.76740126221978,-73.92104404665905,Bakery
85,Astoria,40.76850859335492,-73.91565374304234,New York Sports Clubs,40.76426352155887,-73.91563699810902,Gym / Fitness Center
86,Astoria,40.76850859335492,-73.91565374304234,Sampan,40.76431864769857,-73.91466600127636,Chinese Restaurant
87,Astoria,40.76850859335492,-73.91565374304234,Pink Nori,40.76493207916268,-73.91722069971638,Japanese Restaurant
88,Astoria,40.76850859335492,-73.91565374304234,Elias Corner For Fish,40.77249603316814,-73.91581513157055,Seafood Restaurant
89,Astoria,40.76850859335492,-73.91565374304234,Smart Choice Convenience Store,40.765585377317976,-73.91862193108781,Deli / Bodega
90,Astoria,40.76850859335492,-73.91565374304234,Café To Go Creperie,40.76683085520095,-73.92044142362329,Café
91,Astoria,40.76850859335492,-73.91565374304234,Matsu Sushi,40.76558710454389,-73.91857219992431,Sushi Restaurant
92,Astoria,40.76850859335492,-73.91565374304234,Layali Dubai,40.76866645857328,-73.9109328752284,Middle Eastern Restaurant
93,Astoria,40.76850859335492,-73.91565374304234,The Royal Underground,40.764855472908614,-73.91711164648017,Bar
94,Astoria,40.76850859335492,-73.91565374304234,Elliniki Agora,40.766339152101246,-73.92014456849674,Food & Drink Shop
95,Astoria,40.76850859335492,-73.91565374304234,Gossip Coffee And Cocktails,40.764521949611066,-73.91646215978797,Coffee Shop
96,Astoria,40.76850859335492,-73.91565374304234,Jannah Charcoal & Grill,40.7640867218297,-73.91558201721965,Food Truck
97,Astoria,40.76850859335492,-73.91565374304234,Absolute Wine & Spirits,40.76557301229827,-73.91846405194195,Wine Shop
98,Astoria,40.76850859335492,-73.91565374304234,Midnight Lounge,40.76693047730325,-73.91246212832796,Hookah Bar
99,Astoria,40.76850859335492,-73.91565374304234,Aden Restaurant,40.768233,-73.911779,Middle Eastern Restaurant
100,Woodside,40.74634908860222,-73.90184166838284,SriPraPhai,40.7463421117063,-73.89924799709517,Thai Restaurant
101,Woodside,40.74634908860222,-73.90184166838284,Jollibee,40.745986,-73.901197,Fast Food Restaurant
102,Woodside,40.74634908860222,-73.90184166838284,Fay Da Bakery,40.745836089217114,-73.90211547639107,Bakery
103,Woodside,40.74634908860222,-73.90184166838284,Izalco,40.7460602386716,-73.89975303010365,Latin American Restaurant
104,Woodside,40.74634908860222,-73.90184166838284,Rainbow Bakery,40.745406837473084,-73.90342289449981,Bakery
105,Woodside,40.74634908860222,-73.90184166838284,Casa Del Chef,40.74617380651571,-73.89994178798236,American Restaurant
106,Woodside,40.74634908860222,-73.90184166838284,Cafe Con Amor,40.74603862638633,-73.89944081561286,American Restaurant
107,Woodside,40.74634908860222,-73.90184166838284,Dunkin',40.745428691891426,-73.90298936592939,Donut Shop
108,Woodside,40.74634908860222,-73.90184166838284,Red Ribbon,40.745899237512155,-73.89901100952764,Bakery
109,Woodside,40.74634908860222,-73.90184166838284,Thailand's Center Point,40.74653126911064,-73.90024748864484,Thai Restaurant
110,Woodside,40.74634908860222,-73.90184166838284,Sweet Basil Thai,40.74648420263391,-73.90303279550324,Thai Restaurant
111,Woodside,40.74634908860222,-73.90184166838284,Tacos y Quesadillas Mexico,40.74555797739276,-73.90304868870442,Food Truck
112,Woodside,40.74634908860222,-73.90184166838284,F. Ottomanelli Burgers and Belgian Fries,40.745027624845875,-73.90407788526826,Burger Joint
113,Woodside,40.74634908860222,-73.90184166838284,Stop Inn,40.745526330272696,-73.90347626719475,Diner
114,Woodside,40.74634908860222,-73.90184166838284,Hair Village & Spa,40.7459007287776,-73.90110036935131,Spa
115,Woodside,40.74634908860222,-73.90184166838284,House of Inasal,40.74598593212532,-73.89844933074619,Filipino Restaurant
116,Woodside,40.74634908860222,-73.90184166838284,Saints and Sinners,40.7455002318339,-73.9042508703017,Pub
117,Woodside,40.74634908860222,-73.90184166838284,Pizza Boy 2,40.745424979439456,-73.90555677036292,Pizza Place
118,Woodside,40.74634908860222,-73.90184166838284,Woodside Cafe,40.74495693588502,-73.90417882427998,American Restaurant
119,Woodside,40.74634908860222,-73.90184166838284,Peking BBQ Chicken,40.7454884755732,-73.90605294847398,Chinese Restaurant
120,Woodside,40.74634908860222,-73.90184166838284,Sean Og's,40.744865299112035,-73.90441983693239,Pub
121,Woodside,40.74634908860222,-73.90184166838284,Rico Pan Bakery,40.745502433421564,-73.90593178470648,Bakery
122,Woodside,40.74634908860222,-73.90184166838284,Donovan's Pub,40.74535632079923,-73.9065903558088,Pub
123,Woodside,40.74634908860222,-73.90184166838284,Blue Cups Cafe,40.74745807426534,-73.9026118109631,Coffee Shop
124,Woodside,40.74634908860222,-73.90184166838284,The Beerkeeper,40.74547158055854,-73.90588553144923,Bar
125,Woodside,40.74634908860222,-73.90184166838284,Tropical Restaurant,40.74615453721113,-73.89728063783114,Latin American Restaurant
126,Woodside,40.74634908860222,-73.90184166838284,Han Ah Reum Asian Mart,40.74464438582925,-73.90507419950346,Grocery Store
127,Woodside,40.74634908860222,-73.90184166838284,Matsuri,40.745625896247105,-73.90338725268603,Japanese Restaurant
128,Woodside,40.74634908860222,-73.90184166838284,Chase Bank,40.7450415,-73.904684,Bank
129,Woodside,40.74634908860222,-73.90184166838284,The Starting Gate,40.74535628501331,-73.90516977781992,Bar
130,Woodside,40.74634908860222,-73.90184166838284,La Abundancia,40.74986328191198,-73.89879135296557,Arepa Restaurant
131,Woodside,40.74634908860222,-73.90184166838284,Fresh n Save Marketplace,40.7458420455897,-73.90184003744078,Grocery Store
132,Woodside,40.74634908860222,-73.90184166838284,St. Sebastian's Parish Center,40.746575220952884,-73.9074030948631,Gym / Fitness Center
133,Woodside,40.74634908860222,-73.90184166838284,Carvel Ice Cream,40.74536575480376,-73.90584083630512,Ice Cream Shop
134,Woodside,40.74634908860222,-73.90184166838284,T-Mobile,40.746081829201756,-73.90019049465081,Mobile Phone Shop
135,Woodside,40.74634908860222,-73.90184166838284,Jin's Big Apple,40.74553376651552,-73.90405734757145,Gourmet Shop
136,Woodside,40.74634908860222,-73.90184166838284,Lucid Cafe,40.745390016710665,-73.90562137863272,Café
137,Woodside,40.74634908860222,-73.90184166838284,Veggie Monster,40.745064954651276,-73.90363974206427,Grocery Store
138,Woodside,40.74634908860222,-73.90184166838284,Momo Crave,40.746829,-73.896257,Tibetan Restaurant
139,Woodside,40.74634908860222,-73.90184166838284,Baskin-Robbins,40.74517291346844,-73.90339892092523,Ice Cream Shop
140,Woodside,40.74634908860222,-73.90184166838284,Krystal's Cafe,40.74623298706588,-73.8961422620709,Filipino Restaurant
141,Woodside,40.74634908860222,-73.90184166838284,Pollos a La Brasa Mario,40.74497395017744,-73.90255498000465,Latin American Restaurant
142,Woodside,40.74634908860222,-73.90184166838284,D'Haven,40.750035329357594,-73.90420991484943,Restaurant
143,Woodside,40.74634908860222,-73.90184166838284,Dollar & Up Fruits & Vegetables,40.74583995073963,-73.90239313216858,Fruit & Vegetable Store
144,Woodside,40.74634908860222,-73.90184166838284,Inthira Thai Market,40.74638523360637,-73.89965309794127,Gourmet Shop
145,Woodside,40.74634908860222,-73.90184166838284,Pollos A La Brassa Marion,40.746395102898575,-73.89604728072493,Latin American Restaurant
146,Woodside,40.74634908860222,-73.90184166838284,7-Eleven,40.7455398740621,-73.9052076637744,Convenience Store
147,Woodside,40.74634908860222,-73.90184166838284,Bravo Supermarkets,40.7458824999674,-73.8990037501957,Grocery Store
148,Woodside,40.74634908860222,-73.90184166838284,Rite Aid,40.74468232912069,-73.90370696783066,Pharmacy
149,Woodside,40.74634908860222,-73.90184166838284,Woodside Cafe,40.7494817570373,-73.89769551200501,Himalayan Restaurant
150,Woodside,40.74634908860222,-73.90184166838284,Dunkin',40.74563792714426,-73.90627185360327,Donut Shop
151,Woodside,40.74634908860222,-73.90184166838284,Subway,40.746216,-73.896996,Sandwich Place
152,Woodside,40.74634908860222,-73.90184166838284,Food Dynasty,40.74580949196776,-73.90173679750562,Grocery Store
153,Woodside,40.74634908860222,-73.90184166838284,Rosario's Ihawan,40.74607024584939,-73.89608278870583,Filipino Restaurant
154,Woodside,40.74634908860222,-73.90184166838284,LIRR - Woodside Station,40.74565589553833,-73.902256357753,Train Station
155,Woodside,40.74634908860222,-73.90184166838284,Bagels Plus,40.745660439233674,-73.90662960166131,Bagel Shop
156,Woodside,40.74634908860222,-73.90184166838284,Chin Chin Thai Kitchen,40.74543465529699,-73.90703672551359,Thai Restaurant
157,Woodside,40.74634908860222,-73.90184166838284,Little Caesars Pizza,40.745331,-73.906523,Pizza Place
158,Woodside,40.74634908860222,-73.90184166838284,Dunkin',40.7462412219199,-73.89594325898975,Donut Shop
159,Woodside,40.74634908860222,-73.90184166838284,Stop & Deli,40.74375352926683,-73.90037557411556,Deli / Bodega
160,Woodside,40.74634908860222,-73.90184166838284,CTown Supermarkets,40.7456703,-73.9047824,Grocery Store
161,Woodside,40.74634908860222,-73.90184166838284,Station Bar,40.74587129817173,-73.90331977031947,Bar
162,Woodside,40.74634908860222,-73.90184166838284,Hair Village,40.74589970985049,-73.901102837434,Salon / Barbershop
163,Woodside,40.74634908860222,-73.90184166838284,Duane Reade,40.74528644174309,-73.90423579151502,Pharmacy
164,Woodside,40.74634908860222,-73.90184166838284,Subway,40.74557684753497,-73.90341708924439,Sandwich Place
165,Woodside,40.74634908860222,-73.90184166838284,Big Bear Bubble Tea,40.74571339342285,-73.90684552723398,Tea Room
166,Woodside,40.74634908860222,-73.90184166838284,Himalayan Mini Mart,40.74635087789945,-73.89968987236024,Deli / Bodega
167,Woodside,40.74634908860222,-73.90184166838284,El Sabroso Coffee Shop,40.745907,-73.899794,South American Restaurant
168,Woodside,40.74634908860222,-73.90184166838284,Taco Truck,40.745140642408195,-73.89892086471808,Mexican Restaurant
169,Woodside,40.74634908860222,-73.90184166838284,daro's pizza & chicken woodside queens,40.746184831487646,-73.89689132133297,Pizza Place
170,Woodside,40.74634908860222,-73.90184166838284,El Mariachi,40.746173422431916,-73.89773771321939,Mexican Restaurant
171,Woodside,40.74634908860222,-73.90184166838284,Empanadas Monumental,40.74856807997275,-73.89865637877651,Empanada Restaurant
172,Woodside,40.74634908860222,-73.90184166838284,Stars Deli and Grocery,40.749793,-73.89878,Deli / Bodega
173,Woodside,40.74634908860222,-73.90184166838284,Broadway Wines & Liquors,40.74959590074521,-73.8983318506477,Wine Shop
174,Woodside,40.74634908860222,-73.90184166838284,No. 1 Chinese Restaurant,40.749877,-73.898799,Chinese Restaurant
175,Woodside,40.74634908860222,-73.90184166838284,G-Mart,40.74521,-73.90725,Grocery Store
176,Woodside,40.74634908860222,-73.90184166838284,Juan Grocery,40.749401082507276,-73.89783532164009,Deli / Bodega
177,Woodside,40.74634908860222,-73.90184166838284,Darko Boxing And Fitness Gym,40.743850981557436,-73.90657299131418,Gym / Fitness Center
178,Woodside,40.74634908860222,-73.90184166838284,MTA Subway - 65th St (M/R),40.749253991729304,-73.89743208604314,Metro Station
179,Woodside,40.74634908860222,-73.90184166838284,Cafe 58,40.743980168438995,-73.90683231167922,Café
180,Jackson Heights,40.75198138007367,-73.88282109164365,Oceanic Boil,40.749952326860104,-73.88190264370934,Cajun / Creole Restaurant
181,Jackson Heights,40.75198138007367,-73.88282109164365,Downtown Natural Market,40.750045874212105,-73.88240697837537,Grocery Store
182,Jackson Heights,40.75198138007367,-73.88282109164365,Pollos a la Brasa Mario,40.74980641853157,-73.88324280348476,Latin American Restaurant
183,Jackson Heights,40.75198138007367,-73.88282109164365,La Nueva Bakery,40.75013375565077,-73.88022688172873,South American Restaurant
184,Jackson Heights,40.75198138007367,-73.88282109164365,El Chivito D' Oro,40.74983274151265,-73.88237605371638,South American Restaurant
185,Jackson Heights,40.75198138007367,-73.88282109164365,Las Margaritas,40.749886108875145,-73.88255340825232,Latin American Restaurant
186,Jackson Heights,40.75198138007367,-73.88282109164365,La Picada Azuaya,40.75014003333333,-73.881775,Spanish Restaurant
187,Jackson Heights,40.75198138007367,-73.88282109164365,Urubamba,40.75010891043233,-73.87970961391699,Peruvian Restaurant
188,Jackson Heights,40.75198138007367,-73.88282109164365,Sompong Thai,40.749506948439134,-73.88332349454005,Thai Restaurant
189,Jackson Heights,40.75198138007367,-73.88282109164365,Just Made 4 U,40.74963973228118,-73.88554430750861,Café
190,Jackson Heights,40.75198138007367,-73.88282109164365,La Gran Uruguaya Bakery,40.750018002261626,-73.88129072062281,Bakery
191,Jackson Heights,40.75198138007367,-73.88282109164365,Saw Shack,40.750008818255026,-73.88186659989665,Asian Restaurant
192,Jackson Heights,40.75198138007367,-73.88282109164365,Uncle Peter's,40.755785824308525,-73.88381022551096,Italian Restaurant
193,Jackson Heights,40.75198138007367,-73.88282109164365,Table Wine,40.749561547103134,-73.88661713346899,Wine Shop
194,Jackson Heights,40.75198138007367,-73.88282109164365,Don Alex Restaurant,40.749881947134114,-73.88212120723138,Peruvian Restaurant
195,Jackson Heights,40.75198138007367,-73.88282109164365,Jahn's,40.74966209162248,-73.88504988594164,Diner
196,Jackson Heights,40.75198138007367,-73.88282109164365,CoCo Fresh Tea & Juice,40.749595789873304,-73.88414293527603,Bubble Tea Shop
197,Jackson Heights,40.75198138007367,-73.88282109164365,Jackson House Diner,40.74979995743254,-73.88366319742882,Diner
198,Jackson Heights,40.75198138007367,-73.88282109164365,Pio Pio,40.75570509151695,-73.8831451037553,Peruvian Restaurant
199,Jackson Heights,40.75198138007367,-73.88282109164365,La Pollera Colorada II,40.75570414627714,-73.88487094703774,Latin American Restaurant
200,Jackson Heights,40.75198138007367,-73.88282109164365,Black Thai,40.75546531349948,-73.8856754700667,Thai Restaurant
201,Jackson Heights,40.75198138007367,-73.88282109164365,Tomo Japanese Cuisine,40.75016941828497,-73.88014969825647,Sushi Restaurant
202,Jackson Heights,40.75198138007367,-73.88282109164365,Bocaito Cafe & Wine Bar,40.755799,-73.885737,Cocktail Bar
203,Jackson Heights,40.75198138007367,-73.88282109164365,El Palacio De Los Cholados,40.75572462150954,-73.8838558978527,Dessert Shop
204,Jackson Heights,40.75198138007367,-73.88282109164365,La Pequeña Colombia,40.7479923507268,-73.88214460467232,Colombian Restaurant
205,Jackson Heights,40.75198138007367,-73.88282109164365,Emoji Burger,40.749588946573525,-73.88590551928344,Burger Joint
206,Jackson Heights,40.75198138007367,-73.88282109164365,Planet Fitness,40.748234101010084,-73.87992293529081,Gym / Fitness Center
207,Jackson Heights,40.75198138007367,-73.88282109164365,Seba Seba,40.755731001087646,-73.88420311978082,Bakery
208,Jackson Heights,40.75198138007367,-73.88282109164365,La Cabaña,40.75606543043773,-73.88130596024332,Argentinian Restaurant
209,Jackson Heights,40.75198138007367,-73.88282109164365,Mama's Empanadas,40.75599899670048,-73.882393252858,Empanada Restaurant
210,Jackson Heights,40.75198138007367,-73.88282109164365,Banana Republic Factory,40.74930047298099,-73.88418518469943,Clothing Store
211,Jackson Heights,40.75198138007367,-73.88282109164365,Barriles Restaurant and Sports bar,40.74988738997063,-73.88286321234587,Spanish Restaurant
212,Jackson Heights,40.75198138007367,-73.88282109164365,Seba Seba,40.74955400481388,-73.88629052701685,Latin American Restaurant
213,Jackson Heights,40.75198138007367,-73.88282109164365,Arunee Thai,40.74949811139184,-73.88738656779499,Thai Restaurant
214,Jackson Heights,40.75198138007367,-73.88282109164365,Terraza 7,40.747514413850105,-73.88211709964355,Bar
215,Jackson Heights,40.75198138007367,-73.88282109164365,Sac's Place,40.75016338721108,-73.88008384593776,Pizza Place
216,Jackson Heights,40.75198138007367,-73.88282109164365,Pio Pio to Go,40.7559875849342,-73.88274675067117,Peruvian Restaurant
217,Jackson Heights,40.75198138007367,-73.88282109164365,Variety Bakery,40.75538822938919,-73.88642903564931,Bakery
218,Jackson Heights,40.75198138007367,-73.88282109164365,The Vitamin Shoppe,40.7499678,-73.8845565,Supplement Shop
219,Jackson Heights,40.75198138007367,-73.88282109164365,Pollos Mario #3,40.74821955092233,-73.87963869323879,South American Restaurant
220,Jackson Heights,40.75198138007367,-73.88282109164365,Amaru Pisco Bar,40.755863883816154,-73.88300890731006,Lounge
221,Jackson Heights,40.75198138007367,-73.88282109164365,Tacos Mi Mexico Lindo,40.74767666598954,-73.88239934125741,Mexican Restaurant
222,Jackson Heights,40.75198138007367,-73.88282109164365,Boulevard,40.75555795151061,-73.88441161814654,Latin American Restaurant
223,Jackson Heights,40.75198138007367,-73.88282109164365,Mama's Empanadas,40.755880397277316,-73.8829040496189,Empanada Restaurant
224,Jackson Heights,40.75198138007367,-73.88282109164365,Jackson Gyro,40.75002462972698,-73.88062551766221,Greek Restaurant
225,Jackson Heights,40.75198138007367,-73.88282109164365,Gianni's Pizza & Italian Restaurant,40.755595687534765,-73.88587518376295,Pizza Place
226,Jackson Heights,40.75198138007367,-73.88282109164365,Starbucks,40.74955752,-73.88739013,Coffee Shop
227,Jackson Heights,40.75198138007367,-73.88282109164365,Rite Aid,40.750022500100464,-73.88397663831705,Pharmacy
228,Jackson Heights,40.75198138007367,-73.88282109164365,Juanitas,40.75588821795663,-73.88288343998954,Spanish Restaurant
229,Jackson Heights,40.75198138007367,-73.88282109164365,Taco Veloz,40.74803720580167,-73.88030755060078,Mexican Restaurant
230,Jackson Heights,40.75198138007367,-73.88282109164365,SKECHERS Factory Outlet,40.7492832,-73.8845077,Shoe Store
231,Jackson Heights,40.75198138007367,-73.88282109164365,Old Navy,40.748433,-73.8844038,Clothing Store
232,Jackson Heights,40.75198138007367,-73.88282109164365,Optima Beauty Supply,40.74794410724912,-73.88161347264062,Cosmetics Shop
233,Jackson Heights,40.75198138007367,-73.88282109164365,Dela Mora,40.75590127590323,-73.88281027933253,Latin American Restaurant
234,Jackson Heights,40.75198138007367,-73.88282109164365,La Gloria,40.756176493989386,-73.88117554542065,Cuban Restaurant
